# ══════════════════════════════════════════════════════════════════════════════
# adv0102 — The Crystal of Light · Chapter 02: First Mission
# ══════════════════════════════════════════════════════════════════════════════

@columns	id	speaker	cmd	en	zh	ja	de	es

@chapter	02	First Mission	第一个任务	最初のミッション	Erste Mission	Primera misión	N5
@artifact	🕐	Bronze Clock	Present · Past · Negative · Verbs

@story_intro	The first mission has arrived from the guild. You must go to a nearby village. Something is happening there.	公会的第一个任务来了。你必须去附近的村子。那里发生了一些事情。	ギルドから最初のミッションが来た。近くの村に行かなければならない。何かが村で起きている。	Der erste Auftrag der Gilde ist angekommen. Du musst in ein nahes Dorf gehen. Dort passiert etwas.	Ha llegado la primera misión del gremio. Debes ir a un pueblo cercano. Allí está pasando algo.
@section	09	Finding Tom	找到汤姆	トムを見つける	Tom finden	Encontrando a Tom
@vocab	みつける　よかった　うれしい　なく　げんき　おなか　すく　さむい　ありがとう　かえる

adv010901-01	narrator		You go to the cave. You call Tom's name.	你们来到洞穴。你们叫汤姆的名字。	洞窟に行きました。トムの名前を呼びました。	Ihr geht zur Höhle. Ihr ruft Toms Namen.	Vais a la cueva. Llamáis al nombre de Tom.
adv010901-02	emma		Tom! Tom! Are you there?	汤姆！汤姆！你在那里吗？	トム！トム！そこにいますか？	Tom! Tom! Bist du da?	¡Tom! ¡Tom! ¿Estás ahí?
adv010901-03	tom		Yes! I am here! Is someone there?	是的！我在这里！有人在那里吗？	はい！ここにいます！誰かいますか？	Ja! Ich bin hier! Ist jemand da?	¡Sí! ¡Estoy aquí! ¿Hay alguien ahí?
adv010901-04	player		Yes! We are adventurers from the guild. We came to find you.	是的！我们是公会的冒险者。我们来找你的。	はい！ギルドから来た冒険者です。あなたを探しに来ました。	Ja! Wir sind Abenteurer von der Gilde. Wir kamen, um dich zu finden.	¡Sí! Somos aventureros del gremio. Venimos a buscarte.
adv010901-05	tom		Oh! Thank you! Thank you so much!	哦！谢谢！非常感谢！	わあ！ありがとうございます！本当にありがとうございます！	Oh! Danke! Danke so sehr!	¡Oh! ¡Gracias! ¡Muchísimas gracias!
adv010901-06	narrator		A small boy comes out of the cave. His face is dirty. His eyes are red.	一个小男孩从洞穴里走了出来。他的脸很脏。他的眼睛是红的。	小さな男の子が洞窟から出てきました。顔が汚れています。目が赤いです。	Ein kleiner Junge kommt aus der Höhle. Sein Gesicht ist schmutzig. Seine Augen sind rot.	Un niño pequeño sale de la cueva. Su cara está sucia. Sus ojos están rojos.
adv010901-07	emma		Tom, are you okay? Are you hurt?	汤姆，你还好吗？你受伤了吗？	トム、大丈夫ですか？怪我をしていますか？	Tom, geht es dir gut? Bist du verletzt?	Tom, ¿estás bien? ¿Estás herido?
adv010901-08	tom		I am okay. I am not hurt. But I am very hungry and cold.	我没事。我没有受伤。但我非常饿而且很冷。	大丈夫です。怪我はしていません。でも、とてもお腹がすいていて寒いです。	Mir geht es gut. Ich bin nicht verletzt. Aber ich bin sehr hungrig und kalt.	Estoy bien. No estoy herido. Pero tengo mucha hambre y frío.
adv010901-09	player		I have some bread. Please eat.	我有些面包。请吃吧。	パンがあります。食べてください。	Ich habe etwas Brot. Bitte iss.	Tengo un poco de pan. Por favor, come.
adv010901-10	tom		Thank you! This is very good.	谢谢！这非常好吃。	ありがとうございます！とてもおいしいです。	Danke! Das ist sehr gut.	¡Gracias! Esto está muy bueno.
adv010901-11	emma		Tom, why did you go into the forest?	汤姆，你为什么进入森林？	トム、なぜ森に入ったのですか？	Tom, warum bist du in den Wald gegangen?	Tom, ¿por qué fuiste al bosque?
adv010901-12	tom		I saw a big white bird. It was very beautiful. I wanted to follow it.	我看到了一只大白鸟。它非常漂亮。我想跟着它。	大きな白い鳥を見ました。とてもきれいでした。追いかけたかったです。	Ich sah einen großen weißen Vogel. Er war sehr schön. Ich wollte ihm folgen.	Vi un pájaro blanco grande. Era muy hermoso. Quería seguirlo.
adv010901-13	player		A white bird? That sounds strange. Did you see anything else?	一只白色的鸟？听起来很奇怪。你还看到了什么别的东西吗？	白い鳥？不思議ですね。他に何か見ましたか？	Ein weißer Vogel? Das klingt seltsam. Hast du noch etwas anderes gesehen?	¿Un pájaro blanco? Eso suena extraño. ¿Viste algo más?
adv010901-14	tom		Yes. Near the cave, the ground was bright. Like a light. But then it went away.	是的。在洞穴附近，地面是亮的。像一道光。但后来它消失了。	はい。洞窟の近くで、地面が明るかったです。光みたいでした。でも、消えました。	Ja. In der Nähe der Höhle war der Boden hell. Wie ein Licht. Aber dann verschwand es.	Sí. Cerca de la cueva, el suelo estaba brillante. Como una luz. Pero luego desapareció.
adv010901-15	emma		A bright light? Alex, do you think that was...?	一道亮光？阿历克斯，你认为那是...？	明るい光？アレックス、あれは...？	Ein helles Licht? Alex, glaubst du, das war...?	¿Una luz brillante? Alex, ¿crees que eso era...?
adv010901-16a	player		The Crystal of Light! Maybe!	光之水晶！也许！	光のクリスタル！もしかしたら！	Das Kristall des Lichts! Vielleicht!	¡El Cristal de Luz! ¡Quizás!
adv010901-16b	player		I do not know. Let us think about this later. First, let us take Tom home.	我不知道。我们以后再想这件事吧。首先，让我们把汤姆送回家。	わかりません。後で考えましょう。まず、トムを家に連れて帰りましょう。	Ich weiß es nicht. Lass uns das später bedenken. Zuerst bringen wir Tom nach Hause.	No lo sé. Pensemos en esto después. Primero, llevemos a Tom a casa.
adv010901-17	tom		Please take me home. I want to see my mother.	请带我回家。我想见我妈妈。	家に連れて帰ってください。お母さんに会いたいです。	Bitte bringt mich nach Hause. Ich will meine Mutter sehen.	Por favor, llevadme a casa. Quiero ver a mi madre.

adv010901-18q	question		What did Tom see near the cave?	汤姆在洞穴附近看到了什么？	トムは洞窟の近くで何を見ましたか？	Was sah Tom in der Nähe der Höhle?	¿Qué vio Tom cerca de la cueva?
adv010901-19a	option	correct	A bright light on the ground.	地面上的亮光。	地面の明るい光です。	Ein helles Licht auf dem Boden.	Una luz brillante en el suelo.
adv010901-19b	option		A big snake.	一条大蛇。	大きなヘビです。	Eine große Schlange.	Una serpiente grande.
adv010901-19c	option		Another adventurer.	另一个冒险者。	別の冒険者です。	Ein anderer Abenteurer.	Otro aventurero.


# ── Dialogue 5: Returning to the Village ─────────────────────────────────────
@section	10	Returning to the Village	回到村子	村に帰る	Zurück ins Dorf	De vuelta al pueblo
@vocab	かえる　よかった　ありがとう　うれしい　つかれた　いえ　はは　ちち　みんな　あんしん

adv011001-01	narrator		You walk back through the forest with Tom.	你们带着汤姆穿过森林走回去。	トムと一緒に森を歩いて戻ります。	Ihr geht mit Tom durch den Wald zurück.	Caminais de vuelta por el bosque con Tom.
adv011001-02	tom		I am sorry. I made everyone worried.	对不起。我让大家都担心了。	ごめんなさい。みんなを心配させてしまいました。	Es tut mir leid. Ich habe alle besorgt gemacht.	Lo siento. Preocupé a todos.
adv011001-03	emma		It is okay, Tom. The important thing is you are safe.	没关系，汤姆。重要的是你安全了。	大丈夫ですよ、トム。大切なのは安全でいることです。	Es ist okay, Tom. Das Wichtigste ist, dass du sicher bist.	Está bien, Tom. Lo importante es que estás a salvo.
adv011001-04	tom		Will my mother be angry?	我妈妈会生气吗？	お母さんは怒りますか？	Wird meine Mutter wütend sein?	¿Se enfadará mi madre?
adv011001-05	player		I do not think so. She will be very happy to see you.	我不这么认为。她见到你会非常高兴的。	そうは思いません。あなたを見てとても喜ぶでしょう。	Das glaube ich nicht. Sie wird dich sehr gerne sehen.	No lo creo. Estará muy contenta de verte.
adv011001-06	narrator		You arrive at the village. Tom's mother comes out of the house.	你们到达村庄。汤姆的妈妈从房子里走了出来。	村に着きました。トムのお母さんが家から出てきました。	Ihr kommt im Dorf an. Toms Mutter kommt aus dem Haus.	Llegáis al pueblo. La madre de Tom sale de la casa.
adv011001-07	mother		TOM! Oh, Tom! You are here! You are safe!	汤姆！哦，汤姆！你在这里！你安全了！	トム！ああ、トム！いるじゃない！無事だったのね！	TOM! Oh, Tom! Du bist hier! Du bist sicher!	¡TOM! ¡Oh, Tom! ¡Estás aquí! ¡Estás a salvo!
adv011001-08	tom		Mother! I am sorry. I was in the forest.	妈妈！对不起。我在森林里。	お母さん！ごめんなさい。森にいました。	Mutter! Es tut mir leid. Ich war im Wald.	¡Mamá! Lo siento. Estaba en el bosque.
adv011001-09	mother		I know, I know. But you are safe now. That is good.	我知道，我知道。但你现在安全了。那很好。	わかってるわ、わかってる。でも無事だった。それでいいの。	Ich weiß, ich weiß. Aber du bist jetzt sicher. Das ist gut.	Lo sé, lo sé. Pero ahora estás a salvo. Eso es bueno.
adv011001-10	mother		Thank you! Adventurers, thank you so much!	谢谢！冒险者们，非常感谢你们！	ありがとうございます！冒険者の皆さん、本当にありがとうございます！	Danke! Abenteurer, danke so sehr!	¡Gracias! ¡Aventureros, muchas gracias!
adv011001-11	emma		We are happy Tom is safe.	我们很高兴汤姆平安无事。	トムが無事でよかったです。	Wir sind froh, dass Tom sicher ist.	Nos alegramos de que Tom esté a salvo.
adv011001-12	player		Tom told us something interesting. He saw a light near the cave.	汤姆告诉了我们一件有趣的事。他在洞穴附近看到了一道光。	トムが面白いことを話してくれました。洞窟の近くで光を見たそうです。	Tom erzählte uns etwas Interessantes. Er sah ein Licht in der Nähe der Höhle.	Tom nos contó algo interesante. Vio una luz cerca de la cueva.
adv011001-13	mother		A light? In the forest? That is strange.	一道光？在森林里？那很奇怪。	光？森の中で？それは不思議ですね。	Ein Licht? Im Wald? Das ist seltsam.	¿Una luz? ¿En el bosque? Eso es extraño.
adv011001-14	emma		Yes. We will tell Leon about this. He will be interested.	是的。我们会把这件事告诉里昂。他会感兴趣的。	そうですね。レオンさんに話します。興味を持つでしょう。	Ja. Wir werden Leon davon erzählen. Er wird interessiert sein.	Sí. Le contaremos esto a León. Le interesará.
adv011001-15	mother		Please take this. It is not much, but it is from our hearts.	请拿着这个。这不多，但这是我们的心意。	これを持っていってください。たくさんではありませんが、気持ちです。	Bitte nehmt das. Es ist nicht viel, aber es kommt von Herzen.	Por favor, tomad esto. No es mucho, pero viene de corazón.
adv011001-16	narrator		She gives you bread and vegetables. You say goodbye and walk back to the guild.	她给了你们面包和蔬菜。你们道别，走回公会。	パンと野菜をもらいました。さよならを言って、ギルドに戻ります。	Sie gibt euch Brot und Gemüse. Ihr verabschiedet euch und geht zurück zur Gilde.	Os da pan y verduras. Os despedís y volvéis al gremio.

adv011001-17q	question		What did Tom's mother give to the adventurers?	汤姆的妈妈给了冒险者们什么？	トムのお母さんは冒険者たちに何をあげましたか？	Was gab Toms Mutter den Abenteurern?	¿Qué le dio la madre de Tom a los aventureros?
adv011001-18a	option	correct	Bread and vegetables.	面包和蔬菜。	パンと野菜です。	Brot und Gemüse.	Pan y verduras.
adv011001-18b	option		Money.	钱。	お金です。	Geld.	Dinero.
adv011001-18c	option		A new bag.	一个新包。	新しいバッグです。	Eine neue Tasche.	Una bolsa nueva.


# ── Dialogue 6-10: Reporting Back to Leon ────────────────────────────────────
@section	11	Reporting to Leon	向里昂汇报	レオンへの報告	Bericht an Leon	Informe a León
@vocab	かえる　つかれた　むかし　ひかり　めずらしい　しらせる　しろ　とり　あかるい　ちかい　かんがえる

adv011101-01	narrator		You arrive back at the guild. It is evening. Leon is waiting.	你们回到了公会。天色渐晚。里昂在等待。	ギルドに戻りました。夕方です。レオンさんが待っています。	Ihr kommt zurück zur Gilde. Es ist Abend. Leon wartet.	Volvéis al gremio. Es tarde. León está esperando.
adv011101-02	leon		Welcome back! I was worried. Are you safe?	欢迎回来！我很担心。你们平安吗？	おかえり！心配していました。無事ですか？	Willkommen zurück! Ich machte mir Sorgen. Seid ihr sicher?	¡Bienvenidos! Estaba preocupado. ¿Estáis a salvo?
adv011101-03	emma		Yes! We found the boy. His name is Tom. He is safe.	是的！我们找到了男孩。他叫汤姆。他平安无事。	はい！男の子を見つけました。トムといいます。無事です。	Ja! Wir haben den Jungen gefunden. Sein Name ist Tom. Er ist sicher.	¡Sí! Encontramos al niño. Su nombre es Tom. Está a salvo.
adv011101-04	leon		Good! Very good! I am so glad. Tell me everything.	好！非常好！我非常高兴。把一切都告诉我。	よかった！とてもよかった！うれしいです。全部教えてください。	Gut! Sehr gut! Ich freue mich sehr. Erzählt mir alles.	¡Bien! ¡Muy bien! Estoy muy contento. Contadme todo.
adv011101-05	player		We went to River Village. We met Tom's mother. She was very worried.	我们去了河边村。我们见到了汤姆的妈妈。她非常担心。	川の村に行きました。トムのお母さんに会いました。とても心配していました。	Wir gingen nach Flussdorf. Wir trafen Toms Mutter. Sie war sehr besorgt.	Fuimos al Pueblo del Río. Conocimos a la madre de Tom. Estaba muy preocupada.
adv011101-06	emma		We found a note in the forest. Tom wrote it. He was in a cave near the river.	我们在森林里找到了一张便条。是汤姆写的。他在河边附近的一个山洞里。	森でメモを見つけました。トムが書きました。川の近くの洞窟にいました。	Wir fanden einen Zettel im Wald. Tom hat ihn geschrieben. Er war in einer Höhle in der Nähe des Flusses.	Encontramos una nota en el bosque. La escribió Tom. Estaba en una cueva cerca del río.
adv011101-07	leon		Good work. And Tom is okay?	干得好。汤姆还好吗？	よくできました。トムは大丈夫ですか？	Gute Arbeit. Und Tom ist okay?	Buen trabajo. ¿Y Tom está bien?
adv011101-08	player		Yes. He was hungry and cold. But he was not hurt.	是的。他饿了而且很冷。但他没有受伤。	はい。お腹がすいていて寒かったです。でも怪我はしていませんでした。	Ja. Er war hungrig und kalt. Aber er war nicht verletzt.	Sí. Tenía hambre y frío. Pero no estaba herido.
adv011101-09	leon		I see. Thank you. Both of you.	我明白了。谢谢你们。你们两个。	わかりました。ありがとう。二人とも。	Verstehe. Danke euch. Euch beiden.	Entiendo. Gracias. A los dos.
adv011101-10	emma		Leon, Tom told us something. He said he saw a bright light near the cave.	里昂，汤姆告诉了我们一件事。他说他在洞穴附近看到了一道亮光。	レオンさん、トムが何かを話してくれました。洞窟の近くで明るい光を見たそうです。	Leon, Tom erzählte uns etwas. Er sagte, er sah ein helles Licht in der Nähe der Höhle.	León, Tom nos contó algo. Dijo que vio una luz brillante cerca de la cueva.
adv011101-11	leon		A bright light?! In the forest?	一道亮光？！在森林里？	明るい光？！森の中で？	Ein helles Licht?! Im Wald?	¿Una luz brillante?! ¿En el bosque?
adv011101-12	player		Yes. He also saw a white bird. The bird went deep into the forest.	是的。他还看到了一只白色的鸟。这只鸟飞进了深林。	はい。白い鳥も見ました。鳥は森の奥に入りました。	Ja. Er sah auch einen weißen Vogel. Der Vogel ging tief in den Wald.	Sí. También vio un pájaro blanco. El pájaro se adentró en el bosque.
adv011101-13	leon		A white bird and a bright light... I think this is important.	一只白色的鸟和一道亮光……我认为这很重要。	白い鳥と明るい光か…これは大切なことだと思います。	Ein weißer Vogel und ein helles Licht... Ich denke, das ist wichtig.	Un pájaro blanco y una luz brillante... Creo que esto es importante.
adv011101-14	leon		The Crystal of Light is small and very bright. Could it be...?	光之水晶很小而且非常明亮。会不会是...？	光のクリスタルは小さくてとても明るいです。もしかして...？	Das Kristall des Lichts ist klein und sehr hell. Könnte es sein...?	El Cristal de Luz es pequeño y muy brillante. ¿Podría ser...?
adv011101-15	emma		Is the crystal in the forest?	水晶在森林里吗？	クリスタルは森にありますか？	Ist das Kristall im Wald?	¿El cristal está en el bosque?
adv011101-16	leon		I do not know. But tomorrow, we will go and look. You did very well today.	我不知道。但明天，我们要去看看。你们今天做得很好。	わかりません。でも明日、見に行きます。今日はとてもよくできました。	Ich weiß es nicht. Aber morgen werden wir gehen und nachsehen. Ihr habt heute sehr gut gemacht.	No lo sé. Pero mañana iremos a ver. Hoy lo hicisteis muy bien.
adv011101-17	narrator		You go to bed. You are tired. But you are also excited. Tomorrow the real adventure begins.	你上床睡觉。你很累。但你也很兴奋。明天真正的冒险开始了。	ベッドに入りました。疲れました。でも、わくわくしています。明日、本当の冒険が始まります。	Ihr geht ins Bett. Ihr seid müde. Aber ihr seid auch aufgeregt. Morgen beginnt das echte Abenteuer.	Os vais a la cama. Estáis cansados. Pero también estáis emocionados. Mañana comienza la verdadera aventura.

adv011101-18q	question		What does Leon think about the light in the forest?	里昂对森林里的光有什么看法？	レオンは森の光についてどう思いますか？	Was denkt Leon über das Licht im Wald?	¿Qué piensa León sobre la luz en el bosque?
adv011101-19a	option	correct	It might be the Crystal of Light.	可能是光之水晶。	光のクリスタルかもしれません。	Es könnte das Kristall des Lichts sein.	Podría ser el Cristal de Luz.
adv011101-19b	option		It is not important.	这不重要。	大切ではありません。	Es ist nicht wichtig.	No es importante.
adv011101-19c	option		It is a dangerous animal.	这是一种危险的动物。	危ない動物です。	Es ist ein gefährliches Tier.	Es un animal peligroso.
