# ══════════════════════════════════════════════════════════════════════════════
# adv0203 — Two Philosophers Walk Into a Study · Chapter 03: The Annotated Page
# ══════════════════════════════════════════════════════════════════════════════

@columns	id	speaker	cmd	en	de

@chapter	03	The Annotated Page	Die kommentierte Seite	A2
@passage_line	Something that looks planned might be an accident. Something that looks accidental might have a hidden meaning.	Etwas, das geplant aussieht, könnte ein Zufall sein. Etwas, das zufällig aussieht, könnte eine versteckte Bedeutung haben.
@passage_line	A good detective — and a good philosopher — should question both possibilities equally, instead of deciding too quickly.	Ein guter Detektiv — und ein guter Philosoph — sollte beide Möglichkeiten gleich hinterfragen, statt zu schnell zu entscheiden.
@passage_line	This idea fits the mystery of the manuscript perfectly: nothing is certain yet.	Diese Idee passt perfekt zum Rätsel des Manuskripts: Noch ist nichts sicher.


# ── Final Dialogue: A Strange Clue ───────────────────────────────────────────
@section	10	A Strange Clue	Ein seltsamer Hinweis
@vocab	der Hinweis	finden	bemerken	überrascht	der Korb	das Kissen	die Pfote	schwarz	die Tatze	untersuchen	folgen	die Spur

adv021001-01	narrator		In the kitchen, Nietzsche examines the dog's sleeping basket near the fireplace.	In der Küche untersucht Nietzsche den Schlafkorb des Hundes nahe am Kamin.
adv021001-02	nietzsche		Herr Schopenhauer, come look at this.	Herr Schopenhauer, kommen Sie und schauen Sie sich das an.
adv021001-03	schopenhauer		What is it?	Was ist es?
adv021001-04	nietzsche		There is a small black mark on this cushion too. The same color as the ink.	Da ist auch ein kleiner schwarzer Fleck auf diesem Kissen. Die gleiche Farbe wie die Tinte.
adv021001-05	schopenhauer		That is... unexpected. My dog sleeps here every night, far from my desk.	Das ist... unerwartet. Mein Hund schläft hier jede Nacht, weit weg von meinem Schreibtisch.
adv021001-06	nietzsche		Far from the desk, yes. But is there anything between the desk and the kitchen? A path he might walk?	Weit weg vom Schreibtisch, ja. Aber ist da irgendetwas zwischen dem Schreibtisch und der Küche? Ein Weg, den er gehen könnte?
adv021001-07	schopenhauer		Only the hallway. And the small table where I sometimes leave my ink and pen, when I work late.	Nur der Flur. Und der kleine Tisch, wo ich manchmal meine Tinte und Feder lasse, wenn ich spät arbeite.
adv021001-08	nietzsche		A small table. With ink. Along the path between your desk and the kitchen.	Ein kleiner Tisch. Mit Tinte. Entlang des Weges zwischen Ihrem Schreibtisch und der Küche.
adv021001-09	schopenhauer		You are suggesting my dog walked through spilled ink?	Sie schlagen vor, dass mein Hund durch verschüttete Tinte gelaufen ist?
adv021001-10	nietzsche		I am suggesting we should examine that small table very carefully tomorrow. Tonight, perhaps, if the light allows.	Ich schlage vor, dass wir diesen kleinen Tisch morgen sehr sorgfältig untersuchen sollten. Heute Abend, vielleicht, wenn das Licht es erlaubt.
adv021001-11	schopenhauer		This is an absurd theory, Herr Nietzsche. A dog cannot write coherent philosophical objections, ink paws or not.	Das ist eine absurde Theorie, Herr Nietzsche. Ein Hund kann keine zusammenhängenden philosophischen Einwände schreiben, ob mit Tintenpfoten oder nicht.
adv021001-12	nietzsche		Of course not directly! But perhaps the explanation is stranger and simpler than we think. I have one more idea, but I need more time to test it.	Natürlich nicht direkt! Aber vielleicht ist die Erklärung seltsamer und einfacher, als wir denken. Ich habe noch eine Idee, aber ich brauche mehr Zeit, sie zu prüfen.
adv021001-13	schopenhauer		Very well. It is getting late. Will you stay the night, and help me continue this strange investigation tomorrow?	Also gut. Es wird spät. Werden Sie über Nacht bleiben und mir morgen helfen, diese seltsame Untersuchung fortzusetzen?
adv021001-14	nietzsche		I would be honored, Herr Schopenhauer. I came here to learn from you. I did not expect to become your detective partner as well.	Das wäre mir eine Ehre, Herr Schopenhauer. Ich kam hierher, um von Ihnen zu lernen. Ich habe nicht erwartet, auch noch Ihr Detektivpartner zu werden.
adv021001-15	schopenhauer		Strange days bring strange partnerships, it seems.	Seltsame Tage bringen seltsame Partnerschaften, scheint es.
adv021001-16	narrator		Night falls over the small study. The mystery remains unsolved — but tomorrow, the truth may finally come to light.	Die Nacht senkt sich über das kleine Arbeitszimmer. Das Rätsel bleibt ungelöst — aber morgen könnte die Wahrheit endlich ans Licht kommen.

adv021001-17q	question		Where does Nietzsche find another ink mark?	Wo findet Nietzsche einen weiteren Tintenfleck?
adv021001-18a	option	correct	On the dog's sleeping cushion.	Auf dem Schlafkissen des Hundes.
adv021001-19b	option		On Hegel's coat.	Auf Hegels Mantel.
adv021001-20c	option		On the front door.	Auf der Eingangstür.

adv021001-21q	question		What do you think really happened? Take a guess before chapter four reveals the answer!	Was glaubst du, ist wirklich passiert? Rate, bevor Kapitel vier die Antwort verrät!
adv021001-22a	option	correct	I think the dog is somehow involved.	Ich glaube, der Hund ist irgendwie beteiligt.
adv021001-23b	option	correct	I think Hegel secretly returned.	Ich glaube, Hegel ist heimlich zurückgekommen.
adv021001-24c	option	correct	I have a completely different theory.	Ich habe eine ganz andere Theorie.
